title_pt;title_en;year;rating;genre;sinopse;image
O Segredo dos Seus Olhos;165. O Segredo dos Seus Olhos;2009;8.2;Drama;Um assessor jurídico aposentado escreve um romance com a esperança de fechar um de seus antigos casos de homicídio, que permanece sem solução, e superar o amor não correspondido que sentia por seu chefe. Décadas depois, ambas as memórias continuam a persegui-lo.;https://m.media-amazon.com/images/M/MV5BNDFiZWMwYTItYjk2NC00YmI4LTkwYmQtMWRlODE3OWQ4ZjllXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR6,0,380,562_.jpg
Meu Amigo Totoro;175. Meu Amigo Totoro;1988;8.1;Animação;Quando duas meninas se mudam para o campo para ficar perto de sua mãe doente, elas têm aventuras com os maravilhosos espíritos da floresta que moram nas proximidades.;https://m.media-amazon.com/images/M/MV5BZWEwZmYxNTEtNmExMi00ZWExLWI0MTYtOTM3ZTIxZDk1MmZmXkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_QL75_UY562_CR9,0,380,562_.jpg
Filhos do Paraíso;179. Filhos do Paraíso;1997;8.2;Drama;Depois que uma criança perde o par de sapatos de sua irmã, ele embarca em uma série de aventuras para encontrá-los. Quando não consegue, ele tenta uma nova maneira de procurá-los.;https://m.media-amazon.com/images/M/MV5BZmY2ZWNmNjUtZmIwZC00M2Q0LWE1MGMtNjVkNTNjNTA4NWZkXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR6,0,380,562_.jpg
Em Busca do Ouro;183. Em Busca do Ouro;1925;8.1;Aventura;Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.;https://m.media-amazon.com/images/M/MV5BZjEyOTE4MzMtNmMzMy00Mzc3LWJlOTQtOGJiNDE0ZmJiOTU4L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY562_CR16,0,380,562_.jpg
A General;191. A General;1926;8.1;Ação;Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.;https://m.media-amazon.com/images/M/MV5BYmRiMDFlYjYtOTMwYy00OGY2LWE0Y2QtYzQxOGNhZmUwNTIxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX380_CR0,1,380,562_.jpg
Memórias de um Assassino;192. Memórias de um Assassino;2003;8.1;Policial;Em uma pequena província coreana em 1986, três detetives estão procurando o culpado de uma série de estupros e assassinatos de mulheres jovens.;https://m.media-amazon.com/images/M/MV5BZGExZTdiYzktMDk3Mi00N2U2LThiMWMtZjZiNDcxMmU2MDM5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR8,0,380,562_.jpg
Morangos Silvestres;194. Morangos Silvestres;1957;8.1;Drama;Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.;https://m.media-amazon.com/images/M/MV5BZWQ0YzM3MTUtOGQ5YS00ZGY0LWIzMTUtY2JmNGFmMWE0MTczXkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR9,0,380,562_.jpg
O Salário do Medo;195. O Salário do Medo;1953;8.2;Aventura;Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.;https://m.media-amazon.com/images/M/MV5BMTIwZWMzOTQtZTJjYy00ZTYwLThlODEtNjkxNzhiNGU0MWQ5XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR11,0,380,562_.jpg
Relatos Selvagens;197. Relatos Selvagens;2014;8.1;Comédia;Sies historias curtas que exploram o comportamento humano de pessoas desesperadas.;https://m.media-amazon.com/images/M/MV5BODVkZjVjMGYtYzY3NS00YzBkLWE4NDEtODc4YmJlODRmNTI1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY562_CR2,0,380,562_.jpg
Bancando o Águia;198. Bancando o Águia;1924;8.2;Ação;Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.;https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_QL75_UX380_CR0,18,380,562_.jpg
